state,species,sp_hvolume,sister_hvolume,intersection,union,divergence_time
AFother,albicans,8.79221166684151,2.95698990392377,0.372703558911055,11.3764980118542,0.67955
other,alborufescens,7.89311517580576,10.7947994272897,5.09745159741882,13.5904630056766,10.93239
other,amnicola,1.49715454838373,4.47249253896102,0.072954564857682,5.89669252248707,2.62148
other,angelana,2.08562844919427e-05,1.54056603848895,0,1.54056603848895,3.29153
other,argyrophylla,9.27728700120052,4.53056028309702,4.0399900613604,9.76785722293714,1.43837
AF,atlantica,2.76313081683408,0.000154761080071248,0.000103174053380832,2.76318240386077,4.41058
AF,baumgratziana,2.45964145382208,0.356960740880975,0.175608720084341,2.64099347461871,2.4293
AFother,brunnea,7.96839252134516,7.85814170968622,5.46820102464055,10.3583332063908,0.97078
AF,budlejoides,3.82273902142328,2.87414302105696,1.35660007169428,5.34028197078596,4.24525
other,burchellii,1.47339436160214,6.09891529992148,1.395462759005,6.17684690251862,1.05555
AF,capixaba,0.0141118147195111,3.79279284568712,0.0137304143216865,3.79317424608494,4.08538
AF,castaneiflora,2.42997255590861,0.881255321780706,0.773102810358142,2.53812506733118,2.81281
other,chrysophylla,14.1591100835835,3.6724007880409,3.26257750916624,14.5689333624581,0.90885
AF,cinerascens,4.64913287607334,3.13061307886401,2.06476043462984,5.71498552030752,4.41583
other,cipoensis,0.0662288084758766,0.923857632934489,0.0649104364101975,0.925176005000168,8.56953
AFother,corallina,1.94739420468309,1.68007521330624,1.08300307239415,2.54446634559518,1.20225
other,cowanii,4.57113804479612,1.50003724593033,0.0701652299413368,6.00101006078512,2.62148
AFother,cubatanensis,5.14905618630552,3.56576602024186,1.03134255508603,7.68347965146135,3.15149
AFother,cyathanthera,0.927272283225212,0.0666136788907146,0.0646396535429944,0.929246308572932,8.56953
other,dichrophylla,3.68188759458461,14.0471630173916,3.26516690217995,14.4638837097963,0.90885
AFother,discolor,2.90557038188779,3.84343412414532,1.39824182828038,5.35076267775274,4.24525
other,dispar,4.26498035524307,4.50967116053359,0.544216231328567,8.23043528444809,4.23374
AF,dura,0.000157218238417301,2.77535474484069,0.000157218238417301,2.77535474484069,4.41058
AFother,fallax,3.15199935612844,6.88581086766837,3.08211839023995,6.95569183355686,9.53366
AF,fasciculata,3.55767804035609,0.694180344773346,0.661460542770103,3.59039784235934,3.26778
AFother,ferruginata,6.17762594179345,1.46629918577386,1.38826996081029,6.25565516675703,1.05555
AFother,flammea,5.29038203272748,2.6101959391814,2.15598725371163,5.74459071819725,0.57691
AF,formosa,3.10854542460234,4.68945573074178,2.06470442727452,5.7332967280696,4.41583
other,heliotropoides,1.56322735610655,1.58435744972359,0.905043303556026,2.24254150227411,7.45612
AFother,hyemalis,2.07324197381617,0.696921089310829,0.536147936863595,2.2340151262634,0.99216
AFother,hypoleuca,7.36763237492712,4.92067733721751,0.615664753289082,11.6726449588555,6.9878
AF,kollmannii,0.000486303712181455,3.54823993592984,0.000486303712181455,3.54823993592984,4.00818
AF,kriegeriana,0.192769057858722,2.07118014937598,0.150246471566357,2.11370273566835,0.85955
AFother,lepidota,3.06972123867811,3.06913969596348,1.59394009329633,4.54492084134526,1.36567
other,longispicata,12.2174667365197,0.000159188080052325,0,12.2174667365197,10.85485
other,lourteigiana,2.90040160838548,8.8619512558713,0.403020268441146,11.3593325958156,0.67955
AF,lymanii,0.69517643343846,2.03545048089247,0.538919314661783,2.19170759966915,0.99216
other,macrothyrsa,1.57959746844406,1.53983887926434,0.904084256316925,2.21535209139148,7.45612
other,macuxi,1.65251248090794,7.77292698753557,1.41397413139113,8.01146533705238,4.8396
other,mayarae,4.56360304735708,9.30894027751192,4.07634033294234,9.79620299192666,1.43837
AFother,mellina,0.21229338121749,8.82714308594611,0.194706947270479,8.84472951989312,8.37958
other,multispicata,4.37403838916998,8.2240354714014,2.45490157080614,10.1431722897652,6.26071
other,navioensis,2.23017739877265,20.3550042589728,2.11811823831391,20.4670634194315,4.44756
AF,octopetala,3.82608869655039,0.0141379700114047,0.0141379700114047,3.82608869655039,4.08538
AF,penduliflora,0.0115641085259827,6.61124233239564,0.0115641085259827,6.61124233239564,3.65637
AFother,pepericarpa,1.84752440364885,9.7873204050999,1.75283950855518,9.88200530019357,4.7767
AF,petroniana,2.88237915721779,0.188428256129178,0.178879526933443,2.89192788641353,1.97987
AF,polyandra,2.08715859386858,0.193392532526063,0.149310411141446,2.1312407152532,0.85955
other,pterocaulon,2.01703249781053,6.72319517318989,0.56671632565988,8.17351134534054,6.31753
other,punctata,12.3578886173019,8.27739137779092,6.71844664832707,13.9168333467657,4.76812
AF,racemifera,0.701083720815443,3.54488642031261,0.666929787897773,3.57904035323028,3.26778
AF,robusta,0.446082443576536,11.3912957374426,0.438290610500963,11.3990875705181,1.48598
other,rondoniensis,1.3524197714413,1.85877800022445,0.0408803984966253,3.17031737316912,4.31489
other,rufescens,3.70725808188055,16.0536205400456,1.51458363544198,18.2462949864842,4.84062
AFother,ruficalyx,12.1342999923492,6.96394803550985,4.40123466529947,14.6970133625595,3.66009
AF,ruschiana,0.352647405592006,2.44966804258339,0.17603080627973,2.62628464189566,2.4293
AFother,sclerophylla,1.68290857050565,1.95199268037276,1.0705941964647,2.5643070544137,1.20225
other,secundiflora,0.99514774314862,9.58659758612187,0.470789016615285,10.1109563126552,1.65735
AFother,serialis,9.63466517628961,0.991442040046606,0.472195534443275,10.1539116818929,1.65735
AF,setosociliata,3.57302154506058,5.18629321751477,1.0337440664846,7.72557069609075,3.15149
AF,shepherdii,0.18913083882183,2.90646693906258,0.179851692328407,2.915746085556,1.97987
AFother,stenostachya,3.76029133049583,7.31377053535042,0.736435793463723,10.3376260723825,7.51608
other,suberosa,0.00016090844805444,12.3145762241792,0,12.3145762241792,10.85485
other,tiliifolia,15.5826782849326,3.70043540971754,1.43092181337363,17.8521918812766,4.84062
AF,valtheri,1.87889147569906,1.3589145452083,0.0375803348790098,3.20022568602835,4.31489
AF,willdenowii,2.6227709472051,5.31517273727141,2.24323878769872,5.69470489677779,0.57691
