sA.c,sA.m,sB.c,sB.m,sAB.c,sAB.m,xB.c,xB.m,dA,dB
0.156251666606484,0.101432297560019,0.0123112227727598,0.565249202703993,0.00029513320494467,-4.54986653344852e-05,0.0744410202964891,-0.0118470240384222,0.11827339166188,0.223150197736216
0.100626449747933,0.0428605852424524,0.130578384071102,0.136356308046822,1.0003141726581e-05,-1.0207483372234e-06,0.000865663452831645,-9.27706130208236e-05,0.0851162692507112,0.135576012788593
0.165582755578108,0.0830674572032571,0.149292426219911,0.431073471050992,7.18420792775363e-05,-6.64478547834739e-06,3.11244865097201e-05,-4.18120456061879e-06,0.120520627256507,0.213893682154362
0.130242690213921,0.07331602034926,0.26231301348248,0.190688690156577,2.78319363283732e-05,-2.72053774027731e-06,0.0327797718015416,-0.0046006767861899,0.111112538289728,0.225018785491569
0.0405238868678556,0.0283008152012983,0.109956922573541,0.0570663721693712,5.48610136677483e-08,1.9265870319605e-06,2.2341941329944e-07,8.52880281930287e-10,0.055862900036982,0.0980722515334841
0.0752586069236806,0.0460385575965813,0.226021652995173,0.105597617003402,1.58081962031407e-05,9.45430114903412e-06,0.117028375538446,-0.0114040489520675,0.0698946112507053,0.192355370911055
0.10302846117028,0.0787760554118898,0.111157729721228,0.253061233275406,2.92771848975755e-08,0.0385502840982945,1.93201833092551e-06,-2.12925106438395e-07,0.107725955505632,0.182100458471856
0.048156087708908,0.0427624366535993,0.0668804378443938,0.110613861894041,5.92149274845137e-08,4.37021838555827e-08,0.0307132343282761,-0.00287217744392871,0.070894958395289,0.12409352928527
0.0985116935372528,0.0874638973527433,0.11328189091573,0.260587963517981,0.011308116515507,-0.00165580614039934,0.0865909193800002,-0.0126794375901432,0.10085338123746,0.17696601292868
0.104073848119256,0.0494450894399101,0.131236359225901,0.199215153840279,3.86303433847101e-05,4.41044997427872e-06,0.000139621651521354,-1.67368044595358e-05,0.0862864968318496,0.163790305831792
0.119841074283942,0.043125036337819,0.163062491748494,0.161033611523945,9.8174563880388e-10,8.23700652845432e-07,3.69084210351857e-09,7.99110521550977e-07,0.0907188697863585,0.155584885103237
0.0950880923581464,0.0312641145147516,0.123821640285955,0.182098718450431,1.84314530307625e-07,7.90351040014085e-08,4.85672082768532e-06,-4.73760679095863e-07,0.069749458037481,0.15007609094578
0.0993078357921444,0.0483077057257056,0.117774526941494,0.154173500182108,3.88135915575783e-10,7.63330788969636e-07,1.34675772403786e-09,8.17889050947217e-09,0.0881509167038864,0.133097930941882
0.118850528007766,0.064345889631251,0.114595096762811,0.22643578629542,2.61932145358091e-05,-3.43723173008428e-06,3.05149248218366e-08,-2.4430976919568e-09,0.0987784142193636,0.158164209629324
0.106103958127478,0.106513998006815,0.156940908443485,0.28798133034765,2.31931592014071e-10,5.97512496284613e-09,1.58639875881986e-08,-1.9648664254379e-09,0.118160486364045,0.1839270644206
0.116422273739087,0.0630808447577328,0.148722595493998,0.266820472327611,0.000533732300981188,-7.16356688484779e-05,0.000331869533218747,-4.44048412738263e-05,0.094721205241743,0.190602278096399
0.0856500987679548,0.0746041090834854,0.148507657756191,0.253151434357525,6.18358034850585e-05,-4.24547530857598e-06,0.000412723248817804,-5.28716706843402e-05,0.0941524856519163,0.178126549945147
0.0987850021039402,0.0521303440697087,0.10376190920741,0.228388252479021,7.87919015808357e-06,8.16218757965983e-06,5.19581532769183e-06,-3.45328602785739e-07,0.0856469175932846,0.160688928187811
0.162300444046306,0.114179022997153,0.135337663442336,0.42699882797321,5.28900212683474e-06,5.35578836262858e-06,0.060887838216739,-0.011029555983096,0.138273165861239,0.244946196703099
0.0833823015506472,0.0392875459785469,0.0504780127000227,0.214741959121748,0.000356931674817334,-3.5466904087786e-05,6.75984940573198e-05,-6.70676271964142e-06,0.0699545064020519,0.150289845054443
0.136880626152778,0.0750388447765202,0.121680493605689,0.339662594741038,1.80595848877574e-06,7.97069958528717e-07,0.0466825826089851,-0.00715279165700951,0.106863120162953,0.217532139857688
0.0614308483018221,0.0512854213131288,0.15572552983212,0.180956424263166,9.9714661226035e-08,3.38304035559611e-06,1.07774820244456e-07,6.98736812253549e-07,0.0721176340022987,0.169321363369288
0.101342015982159,0.085437920512415,0.123025591665932,0.288350978947423,0.000137309148282858,-2.02499701444505e-05,0.0378297627698732,-0.00558424738895498,0.106637149202433,0.199847896404337
0.135068865575237,0.0371490090197593,0.1748532072448,0.183971612365973,2.72828040069751e-05,-3.00114341676179e-06,0.000138808554074648,-1.53885757928089e-05,0.0859024257281259,0.167398460602991
0.117967265007438,0.0459527102433167,0.0547796807338667,0.262300261114922,7.93462498094609e-08,1.22209282160016e-07,6.97353750754073e-05,-8.34567056289487e-06,0.0881986826166057,0.149893859018661
0.148916471375755,0.0763839689346972,2.93825504907825e-06,0.350436468233424,5.6554859148291e-08,0.0244875827527287,0.0249891179653513,-0.00382107578596318,0.119936777391377,0.18122384076919
0.105117997010668,0.0621005703697038,0.124109311146298,0.141693047132023,1.320257476696e-05,-1.71008092658351e-06,1.71205306561463e-06,-5.15029582057737e-08,0.10545071639107,0.127976523375078
0.153379004735387,0.081000017445193,0.236251562175146,0.27538333585037,2.72729692607274e-09,5.71769483938761e-06,2.08419548380736e-06,1.42154300783937e-06,0.115807005892637,0.209136728287779
0.174681382051087,0.048916332142475,0.0775847810197234,0.311222705787916,5.8209032999372e-05,-7.76494999004197e-06,0.0492850227893016,-0.00659112513301961,0.105041487346813,0.196979750544569
0.0894195491630818,0.0632737858388042,0.124222901014948,0.223726306844143,2.36281299208259e-06,-8.60648938158027e-08,0.0409949317159436,-0.00526247230516668,0.0893171622517343,0.190096359069927
0.122734754425498,0.0584071154168941,0.11485115159743,0.313859225989943,1.09901462355379e-06,7.3706717927179e-07,1.83378618123942e-06,-1.01216291528239e-07,0.0938861468007693,0.175346598399113
0.10185818271604,0.0705098664117249,0.0877863960193051,0.266864751869467,1.0527096397983e-05,-1.43522305413752e-06,4.77471252617448e-08,3.0495627681768e-06,0.0973486644654435,0.163720677857627
0.0778073140783511,0.0458090667833956,2.77049519736115e-08,0.240748991622083,2.06443441055916e-07,1.33651797584289e-07,0.0298797024589384,-0.00311922436957095,0.0766322106939384,0.150819175389673
0.0954064531262862,0.0928938657299763,0.100390224819726,0.318809376547728,1.7940503043021e-05,-2.44725953681269e-06,0.133375295564836,-0.0182487126222893,0.0957067253935889,0.223498810576384
0.1488529142067,0.0760362711362322,0.0889195948680004,0.374447058916399,1.39058828644621e-06,0.00446466670625174,0.0313826456579157,-0.00482442454354937,0.113834683611048,0.213213000539543
0.0973198143073803,0.0936761172397525,0.31370234827045,0.0830992254809975,1.86630285781131e-07,2.13497886599263e-06,7.78520716390649e-07,-1.13343388840593e-07,0.105909329437832,0.179137542383907
0.0646425054212649,0.0855748922838718,0.275414030320038,0.174760385372233,1.37220418680145e-06,-1.80722165759392e-07,0.00374219907537214,-0.000496256904257113,0.096049196772281,0.196879837787206
0.0626202375529144,0.0578402879013511,0.0369901857815841,0.221295907865823,1.98745035413683e-05,1.71071680869914e-06,0.0785020714190338,-0.00923952465048241,0.0766245566732258,0.165894412542204
0.129170040033283,0.0606910739048473,0.239059801574891,0.187969723446384,0.000125972326270798,-1.68522039088426e-05,0.0371064616961854,-0.00496987499980525,0.102807163730558,0.209215125948295
0.114882323320315,0.0583071573961285,0.0362325497351554,0.241212464434815,1.20747070948783e-05,-1.51177592000176e-06,0.0309711446403087,-0.00388315905179442,0.09587725436387,0.157559978487162
0.131016201447564,0.0388113746033713,0.170961928060991,0.216293018767198,8.90559788868155e-09,6.7421722020932e-07,1.05487437213303e-08,-5.49806293406852e-11,0.0850795838708369,0.171403539728348
0.141131838629778,0.0869929573314559,0.14893747637657,0.356336153316467,1.57897637260515e-07,-2.52636079116673e-08,2.22904573957679e-07,6.58409064095018e-07,0.116981092268372,0.188448179376504
0.0646055580336677,0.0745054974551655,0.142286338393104,0.186291696791363,1.99011568073171e-06,-1.64310621175401e-07,0.0421861437246435,-0.00525799171164654,0.0910089925878954,0.183877436513399
0.140904785799874,0.047112954933754,0.0970437158581732,0.368700446322511,1.52820795945289e-05,-1.13688321595968e-06,0.000129378805313847,-1.56806357579989e-05,0.0911447065110293,0.197657254071981
0.0863098447083356,0.0325290378546712,0.124081056756547,0.131206140562204,5.33596066116412e-06,-2.98439359120291e-08,7.6372377056766e-08,1.29397948321033e-07,0.0696001548135254,0.136555514686177
0.109276884523118,0.0494400366156896,0.162087206449938,0.102822143002148,1.60545777513159e-05,-1.97468199385286e-06,1.2302991256217e-06,7.07076597946304e-06,0.096057396276504,0.125964366980119
0.163963615107118,0.0818101126794562,0.23148589083031,0.299986246749135,3.6223084089689e-06,3.91451391021691e-06,2.79800199893084e-05,-4.38240940388449e-06,0.120933910797554,0.210844707366401
0.0969416474066714,0.0515743535460061,0.12607105282307,0.205839100938827,1.04607938677183e-06,2.99999569564603e-08,3.75312663071559e-08,1.08958560560585e-08,0.0858437945183267,0.154944227201774
0.102520542910183,0.0633843772945691,0.0417073217105461,0.231635795878679,9.62466887453509e-07,1.92718080455015e-05,3.30043558741576e-05,-4.06239482021171e-06,0.0954383138497077,0.144257288364444
0.145042606617722,0.0461015028883234,0.12797969266347,0.250667932901123,1.03076636233891e-06,1.36406202529636e-06,0.028683861423658,-0.00363044430914026,0.0976963767820186,0.188420038755061
0.0638317277542393,0.0658368368766844,0.131255120610089,0.168945303975183,4.13829783045489e-05,-4.72439255005619e-06,0.0355684766420984,-0.00410434611463954,0.0849659834211745,0.171400196876132
0.105698533830276,0.0458684301368288,0.100269906314839,0.336627235936867,9.06364559976907e-07,-3.87408824621551e-08,0.0689048932604976,-0.0078359939228733,0.0719981608569112,0.208467542674992
0.133978184274662,0.0566521065054551,0.0767544909678013,0.272169536540035,5.80973509122771e-05,-6.99535650342275e-06,0.041762840882538,-0.0050826898556441,0.0994469948307342,0.184388294260546
0.140322420802684,0.106944875157315,0.060044962353484,0.468622899103088,2.00541347893108e-06,3.80298252179885e-06,0.0800670749631975,-0.013173224192394,0.11780561061426,0.239105822320389
0.0720014410314107,0.0385050507146841,0.135466354735767,0.0980666309887221,4.51543036488207e-05,-4.49146079356062e-06,0.00132874304195202,-0.000132342234714172,0.0724276742348443,0.12483185318135
0.0915067988589947,0.0994602032476621,0.148688693484498,0.321041042203546,0.000227246385316332,-3.33653274783476e-05,0.191901571063264,-0.0281809539300942,0.0941317377636109,0.240406824900921
0.119270199304038,0.0548865572545433,0.128706336941943,0.255877838012359,5.68496778201194e-06,2.72815673952006e-06,5.46777984883011e-05,-6.66967486167297e-06,0.0900582400279206,0.175146963461718
0.102214965679667,0.031095539809109,0.121390681205831,0.16746180971194,6.28220069207548e-06,1.07475077145393e-05,1.73906075808514e-07,4.65469761574935e-09,0.0714514415289158,0.146866187033158
0.114056117442374,0.0626824007393604,0.146101702873388,0.196821272368455,7.25603575742499e-07,1.21974369062498e-06,0.0340953836965516,-0.00445962909491724,0.100734097292226,0.172117519373767
0.0995009005689276,0.0532872988354004,0.108881262464991,0.125745401991609,3.50387011538768e-07,6.25335045506976e-06,8.04221620761094e-06,7.48060733504374e-06,0.0982006016056129,0.119303602954737
0.0833551465147536,0.117379804702596,0.145590705610321,0.283652119165779,6.66667839286646e-06,1.23481723061434e-07,0.252840353927031,-0.034447685254708,0.0992473846799047,0.237298737990548
0.0929548092447845,0.0760116488572197,0.165510361652756,0.209157424936796,0.000204852207506569,-2.75555998373385e-05,5.80397958616601e-05,-7.89668299864039e-06,0.099704722535826,0.168559398212838
0.160352436431762,0.0775979847528806,0.251996878103243,0.367789112579652,3.34453557480476e-06,8.05416597091833e-06,0.000178495331547892,-2.65506157585149e-05,0.111156313474299,0.237439144615782
0.0558455519822894,0.0447956575746657,0.192305939422139,0.106728243408981,3.51876825368006e-05,-3.02409028998914e-06,0.00352067510897765,-0.000362782239398761,0.0708878308112137,0.146388592338857
0.157311286219759,0.0471647780804459,0.158358508654088,0.239835766708747,6.92764269738883e-06,-7.82367061172524e-07,0.0357030090555881,-0.00444070941484574,0.100020449900674,0.206951352300098
0.109865346946761,0.0640677188157685,0.284147664427214,0.173879987550765,0.000308526104692802,-3.98475031196483e-05,0.0453359564660117,-0.00591791068263086,0.0925185263077569,0.228369361013016
0.105770001783356,0.0561541271239838,0.0955542393332888,0.248350305316534,1.2814705589784e-07,-6.98810137404146e-09,2.95658880726445e-07,2.97241784041211e-06,0.0909828243463324,0.157627254247514
0.0947058643984432,0.0428736178257332,0.290700460568754,0.0130724402755089,1.81272601233077e-07,1.2742498116746e-07,5.98894576627886e-07,3.16698461348001e-07,0.0733531610767722,0.148111212674866
0.0844948757240041,0.03916017168145,0.123155974277303,0.135985033527991,5.31818866044095e-07,-5.16120361998686e-08,7.27716069380537e-06,5.99489105311999e-07,0.0741050895502906,0.133825120149559
0.101543431441784,0.0725496771961884,0.0328629232646226,0.295140527317014,5.92951706246454e-07,2.36457347462408e-06,0.102444430361453,-0.0130409136013192,0.0931864312277583,0.201170532724032
0.0678291869904093,0.0508920283141736,0.137558237708445,0.121990477207808,6.58320997727323e-05,-6.74252095473574e-06,1.16160085721377e-06,9.71950268951783e-06,0.0808937580743864,0.130965337968113
