distribution,sp_1,sp_2
AF-endemic,atlantica,dura
AF-endemic,baumgratziana,ruschiana
AF-endemic,budlejoides,discolor
AF-endemic,capixaba,octopetala
AF-endemic,cinerascens,formosa
AF-endemic,fasciculata,racemifera
AF-endemic,hyemalis,lymanii
AF-endemic,kriegeriana,polyandra
widespread,albicans,lourteigiana
widespread,amnicola,cowanii
widespread,argyrophylla,mayarae
widespread,burchellii,ferruginata
widespread,chrysophylla,dichrophylla
widespread,cipoensis,cyathanthera
widespread,corallina,sclerophylla
widespread,heliotropoides,macrothyrsa
widespread,longispicata,suberosa
widespread,rufescens,tiliifolia
widespread,secundiflora,serialis