albicans,alborufescens,amnicola,argyrophylla,atlantica,baumgratziana,brunnea,budlejoides,burchellii,castaneiflora,chrysophylla,cinerascens,cipoensis,corallina,cowanii,cubatanensis,cyathanthera,dichrophylla,discolor,dispar,fallax,fasciculata,ferruginata,flammea,formosa,heliotropoides,hyemalis,hypoleuca,lepidota,longispicata,lourteigiana,lymanii,macrothyrsa,macuxi,mayarae,mellina,multispicata,navioensis,octopetala,pepericarpa,petroniana,polyandra,pterocaulon,punctata,racemifera,robusta,rondoniensis,rufescens,ruficalyx,ruschiana,sclerophylla,serialis,setosociliata,shepherdii,stenostachya,tiliifolia,valtheri,willdenowii,suberosa,angelana,capixaba,dura,kollmannii,penduliflora,kriegeriana,secundiflora
1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.941179695798869,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.613310182776347,0.491438188398287,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.827574833764026,0.801086980153008,0.78005322583753,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.505917179394341,0.36423183603362,0.353291183404164,0.250957066482303,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.688944163866569,0.545729227989394,0.573838112996458,0.513873757475444,0.720121831397124,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.619140717468237,0.461509015915735,0.431609037265992,0.361601853067977,0.877347565884807,0.890028922726893,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.603755070191897,0.433024038578026,0.393867239715096,0.305072688117706,0.903580044066618,0.825728189250491,0.928929269369298,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.719552684464093,0.783091410057162,0.232302749940606,0.42899013860408,0.228008100935853,0.434523541481226,0.374190929111451,0.366124001297795,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.591889551401447,0.44905397427757,0.464153684864914,0.393983635516771,0.720531786616007,0.935213966720963,0.912811810165961,0.805313632103104,0.363176970622529,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.874751517025673,0.851930288701791,0.673237399574605,0.9353239100487,0.366006198223468,0.649262409090484,0.521555238082737,0.404275556896474,0.567959312913068,0.538220398020564,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.459277688287513,0.26522746980696,0.40633392690776,0.227471454391591,0.749062813538927,0.764430021034706,0.823897913604378,0.867577259732942,0.232035071903459,0.699558920404533,0.301579654728527,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.817882308712281,0.758303842980038,0.501163634865138,0.694755666468192,0.526617829498979,0.88507985853286,0.738441954145734,0.645166437349045,0.653301769405233,0.806836637149156,0.806775647688562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.61089912679516,0.547008336675183,0.288815042554443,0.326232458219508,0.629414672648178,0.762076338984519,0.838136698337879,0.718349721575912,0.51778273866802,0.830578699431228,0.493662590830387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.605754938689388,0.573809952034716,0.661131934638025,0.847459869303657,0.244578575617101,0.482854169040611,0.336327083408497,0.255561882673053,0.253170354134844,0.416576635281184,0.841261238326535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.767365374933674,0.658549748701295,0.457126492075125,0.438046539592204,0.704253276830918,0.868535492824707,0.887278192490496,0.876021210741052,0.643688534189692,0.832576848835752,0.574759310558052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.645871147384382,0.608780245507687,0.264830419276071,0.339288140075501,0.553018220058672,0.710446276418311,0.794527851517471,0.668559407410577,0.679809340844923,0.706313682668362,0.513182510767408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.725560666021046,0.694432088226785,0.83904557303756,0.922949616804335,0.35001374079831,0.570943821457221,0.436776784097004,0.346630832665565,0.357055676417416,0.530431932220141,0.904653996352327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.599666055360585,0.431478451963026,0.378007087836767,0.292927815476272,0.844616696694528,0.753311887185464,0.876139506484252,0.941220457847068,0.40387215475125,0.68192221168064,0.391437157709072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.773058657497804,0.754961490830513,0.717299671962821,0.901540880869053,0.287913426175847,0.610465819276039,0.437507235840348,0.309248366300943,0.467484395726987,0.495091158386314,0.946126230231219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.952049682069519,0.929990112841603,0.522671833523936,0.767284343036654,0.514419368999318,0.708544236264713,0.67056090459099,0.609205807988048,0.770732170045499,0.636777635608482,0.866467046571811,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.467497429627188,0.292353525397421,0.374820179280134,0.227745658700917,0.905817993236585,0.746214659108457,0.895217791841789,0.945083780767118,0.229711768607777,0.760601101719147,0.326516764209557,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.825180600111366,0.833241212561505,0.303314374067182,0.455568183479123,0.474658349471319,0.57610110513928,0.599558624976205,0.584858115556309,0.880587365534716,0.486181485094862,0.576966185402334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.801009294647912,0.701915031525605,0.488410010078349,0.470910286622452,0.703295474089734,0.856031250242259,0.872620662391209,0.871507399432282,0.657424991345538,0.783288019112004,0.60699017741365,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.474060844404077,0.3117894603427,0.374702146544052,0.25609725819591,0.892783690945976,0.771869771951299,0.905043536308926,0.930147299058641,0.237488750577561,0.781963110281433,0.350778627921056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.857502853076648,0.879871936842669,0.366439268954696,0.63731420750021,0.414946876400499,0.643397792380238,0.598795813308516,0.479514454864873,0.835596874490309,0.57208808227894,0.809634172884951,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.340243639773211,0.175777447192464,0.394019505684251,0.17446020887066,0.671599055126399,0.657043326814817,0.749393503599132,0.752596175125928,0.10800369156902,0.641219122363397,0.226514272417943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.840482556198372,0.745731884964296,0.47811503377792,0.698678182250016,0.406158978793239,0.479148916459243,0.420662979248854,0.498156281946083,0.528680432602575,0.34752898996715,0.690312535431006,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.940310860610736,0.864008672302126,0.678421634784411,0.906885021956929,0.501862769665733,0.675138460016009,0.599470585994726,0.576218068337782,0.555531528836995,0.573588109129933,0.924896680368095,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.725850354668133,0.690238470425498,0.776925216439039,0.917100445073929,0.259286338505457,0.524296640625767,0.363381857471334,0.30124921888112,0.366380070245581,0.425260537367004,0.911983984871101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.743462779672603,0.67814445413566,0.909678478411759,0.890701011970785,0.408265309418422,0.622106481531168,0.509756734788795,0.431284218347525,0.353583269320536,0.579830559866593,0.859033533338555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.343062399358091,0.198196547534451,0.310496253323167,0.192848909785435,0.698296454078075,0.621260748381398,0.773893568627362,0.726922986764096,0.139748824554505,0.7329343405194,0.260774078517854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0.907778723729123,0.933036409842747,0.452176086304498,0.729501332636383,0.375014485185239,0.574613375052611,0.523161475728833,0.466429803140691,0.862313766092365,0.514617316321523,0.822034709844108,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
